"name"	"country_code"	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
"Yemen"	887	22763	25023	27030	28702	30256	31530	32444	33067	33266	33115	32637	31859	30805	29568	27982	26319	24657	23041	21494
"EUROPE"	908	740308	740600	738122	732531	724638	715220	704797	693261	680569	666407	651198	636057	621540	607751	595519	583376	572317	560808	548886
"Eastern Europe"	923	296183	290805	284339	276225	267206	257627	248067	238198	228247	218112	207894	197770	187966	178961	171034	163932	157692	151398	144903
"Belarus"	112	9491	9171	8845	8484	8090	7673	7269	6852	6428	6017	5604	5209	4832	4497	4192	3901	3639	3380	3150
"Bulgaria"	100	7389	7059	6711	6348	5975	5602	5233	4882	4535	4199	3867	3554	3281	3036	2816	2633	2464	2317	2187
"Czech Republic"	203	10554	10680	10719	10696	10617	10518	10420	10335	10230	10105	9913	9696	9469	9259	9048	8856	8661	8446	8231
"Hungary"	348	10015	9811	9579	9312	9021	8711	8382	8084	7780	7452	7103	6747	6396	6051	5739	5422	5127	4810	4537
"Poland"	616	38199	37853	37313	36521	35477	34233	32815	31331	29828	28280	26631	24965	23187	21422	19777	18341	17063	15871	14759
"Republic of Moldova"	498	3573	3387	3219	3040	2845	2640	2432	2223	2014	1839	1667	1498	1341	1192	1065	955	861	778	702
"Romania"	642	21861	21379	20784	20068	19271	18414	17474	16533	15537	14490	13449	12367	11365	10422	9544	8793	8058	7405	6831
"Russian Federation"	643	143618	140912	137470	133064	128276	123387	118307	113018	107764	102412	97400	92368	87405	82683	78330	74243	70440	66886	63269
"Slovakia"	703	5433	5406	5350	5257	5123	4954	4765	4556	4348	4121	3880	3633	3379	3139	2915	2719	2532	2356	2190
"Ukraine"	804	46050	44255	42339	40276	38117	35897	33780	31692	29588	27517	25422	23398	21546	19857	18365	17050	15865	14735	13710
"Northern Europe"	924	98795	100953	103031	104859	106318	107530	108497	109352	110026	110357	110434	110372	110195	109832	109109	108294	107276	106070	104661
"Channel Islands"	830	160	162	165	166	168	168	168	167	165	162	158	154	150	146	141	136	130	124	117
"Denmark"	208	5551	5620	5686	5750	5809	5850	5879	5900	5911	5917	5922	5927	5915	5892	5865	5810	5740	5660	5561
"Estonia"	233	1299	1272	1243	1209	1171	1133	1098	1063	1029	994	957	920	883	848	817	790	760	733	708
"Faeroe Islands"	234	50	49	49	49	49	49	48	47	46	44	43	42	40	39	38	36	34	32	30
"Finland"	246	5368	5422	5460	5479	5471	5438	5390	5338	5289	5235	5176	5117	5056	4982	4904	4812	4706	4593	4481
"Iceland"	352	318	333	345	354	361	365	365	363	357	350	341	332	320	308	295	282	269	255	241
"Ireland"	372	4468	4689	4887	5048	5184	5303	5414	5508	5577	5608	5605	5579	5538	5493	5449	5398	5328	5251	5144
"Isle of Man"	833	84	86	89	90	91	92	93	93	93	92	91	90	89	87	85	83	81	79	77
"Latvia"	428	2091	2015	1938	1858	1782	1705	1633	1568	1504	1441	1376	1311	1251	1196	1149	1107	1064	1022	984
"Lithuania"	440	3068	2987	2909	2826	2733	2636	2536	2439	2341	2243	2141	2035	1929	1833	1739	1657	1585	1512	1439
"Norway"	578	4891	5108	5332	5508	5668	5807	5928	6031	6124	6202	6255	6293	6309	6320	6310	6282	6220	6144	6047
"Sweden"	752	9382	9624	9887	10145	10362	10547	10725	10913	11118	11296	11435	11539	11621	11679	11728	11705	11651	11557	11436
"United Kingdom"	826	62066	63371	64594	65650	66446	67075	67528	67913	68128	68039	67727	67286	66788	66169	65428	64420	63278	62127	60752
"Southern Europe"	925	154712	155417	155051	153911	152418	150687	148570	145938	142721	138727	134235	129722	125106	120950	117229	113575	110176	106935	103329
"Albania"	8	3150	3188	3196	3179	3136	3059	2949	2813	2665	2507	2342	2178	2000	1821	1645	1466	1307	1161	1040
"Andorra"	20	78	80	82	83	84	84	85	84	83	81	79	76	73	71	68	65	62	59	55
"Bosnia and Herzegovina"	70	3846	3801	3737	3651	3546	3417	3269	3113	2951	2785	2612	2440	2261	2078	1895	1723	1562	1422	1292
"Croatia"	191	4338	4214	4091	3954	3804	3646	3479	3307	3127	2947	2767	2589	2420	2255	2088	1939	1800	1671	1536
"Gibraltar"	292	29	29	29	29	28	27	27	26	25	24	23	22	21	20	19	18	18	17	16
"Greece"	300	11110	11030	10882	10722	10542	10347	10125	9868	9566	9206	8822	8416	8039	7669	7300	6947	6612	6283	5972
"Holy See"	336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Italy"	380	60509	60696	60439	59804	59056	58283	57295	56236	54881	53357	51532	49665	47857	46188	44647	43169	41695	40094	38600
"Malta"	470	425	426	424	419	409	398	385	370	355	339	323	306	289	270	250	232	213	195	179
"Montenegro"	499	620	614	603	587	567	545	520	493	464	436	407	377	347	318	291	265	241	219	199
"Portugal"	620	10590	10486	10314	10082	9815	9529	9214	8856	8448	7997	7525	7029	6533	6052	5616	5211	4812	4404	4019
"San Marino"	674	31	32	32	32	32	32	31	31	30	29	29	27	26	25	24	23	22	20	19
"Serbia"	688	9647	9304	8911	8470	7989	7477	6942	6390	5817	5250	4698	4159	3633	3139	2689	2301	1952	1666	1423
"Slovenia"	705	2054	2061	2054	2034	2004	1967	1922	1871	1812	1747	1677	1604	1531	1465	1395	1328	1265	1204	1145
"Spain"	724	46182	46845	47043	46920	46649	46251	45784	45126	44101	42751	41118	39384	37687	36071	34623	33246	31916	30624	29136
"TFYR Macedonia"	807	2102	2083	2048	1996	1927	1849	1764	1670	1570	1464	1352	1244	1131	1022	920	826	737	656	591
"Western Europe"	926	190618	192021	192861	192994	192499	191534	190035	187831	185089	181980	178962	175971	173079	170349	167532	164108	160747	157385	153868
"Austria"	40	8402	8483	8549	8595	8617	8599	8553	8464	8366	8226	8058	7880	7693	7510	7306	7083	6856	6623	6366
"Belgium"	56	10941	11100	11186	11245	11278	11289	11273	11217	11135	11022	10891	10751	10609	10467	10314	10143	9970	9763	9537
"France"	250	63231	64545	65630	66481	67171	67702	68033	68195	68077	67841	67534	67153	66786	66328	65646	64876	63953	63127	62060
"Germany"	276	83017	81916	80507	78749	76622	74301	71777	68991	65996	62731	59430	56465	53659	50729	47929	45064	42449	39985	37446
