"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Turkey"	792	75931	78322	80189	81760	82891	83402	83159	82164	80536	78380	75750	72687	69267	65601	61799	57948	54123	50415
"United Arab Emirates"	784	9486	10381	11119	11825	12519	13167	13708	14103	14283	14224	13908	13360	12671	11960	11305	10705	10105	9451
"Yemen"	887	25321	27800	30068	32130	33916	35363	36429	37086	37320	37119	36497	35491	34166	32610	30898	29091	27242	25398
"EUROPE"	908	736809	727724	714164	699147	682785	664732	644421	621781	597222	571707	546100	520909	496341	472447	449283	426847	404939	383464
"Eastern Europe"	923	289750	281168	270741	259771	248427	236661	224455	211921	199343	186846	174504	162469	151070	140594	131158	122606	114653	107174
"Belarus"	112	9174	8816	8424	8018	7600	7176	6740	6294	5850	5422	5015	4631	4272	3944	3647	3379	3134	2910
"Bulgaria"	100	7057	6691	6303	5912	5524	5145	4770	4396	4027	3670	3333	3021	2738	2487	2268	2078	1910	1764
"Czech Republic"	203	10682	10689	10625	10514	10379	10237	10080	9900	9676	9405	9099	8775	8453	8139	7835	7534	7231	6915
"Hungary"	348	9825	9582	9304	9018	8725	8430	8128	7817	7487	7136	6771	6405	6050	5710	5386	5074	4777	4493
"Poland"	616	37859	37247	36394	35375	34155	32776	31281	29704	28082	26415	24691	22921	21174	19533	18053	16745	15577	14518
"Republic of Moldova"	498	3401	3235	3064	2878	2686	2489	2287	2080	1912	1748	1588	1433	1288	1157	1044	948	865	792
"Romania"	642	21383	20745	19979	19163	18307	17407	16450	15436	14378	13296	12218	11175	10194	9297	8498	7788	7153	6580
"Russian Federation"	643	140733	136668	131500	126149	120720	115067	109197	103213	97279	91481	85809	80285	75058	70245	65895	61905	58105	54439
"Slovakia"	703	5406	5339	5233	5100	4939	4758	4561	4350	4124	3884	3633	3379	3135	2907	2702	2516	2347	2190
"Ukraine"	804	44231	42155	39914	37644	35392	33176	30960	28731	26528	24388	22347	20443	18709	17175	15832	14639	13556	12573
