"name"	"country_code"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Denmark"	208	75.44	75.45	75.66	75.95	76.32	76.74	77.17	77.62	78.09	78.52	78.89	79.30	79.65	80.00	80.33	80.67	80.99	81.31
"Dominican Republic"	214	68.24	68.32	68.55	68.95	69.37	69.82	70.35	70.92	71.47	72.12	72.74	73.34	73.94	74.64	75.24	75.89	76.57	77.16
"Ecuador"	218	71.55	71.86	72.31	72.79	73.34	73.91	74.51	75.08	75.66	76.19	76.78	77.32	77.79	78.29	78.75	79.13	79.51	79.86
"Egypt"	818	66.55	66.51	66.64	66.80	67.01	67.24	67.50	67.79	68.09	68.44	68.75	69.11	69.48	69.90	70.33	70.72	71.18	71.64
"El Salvador"	222	65.65	65.86	66.20	66.63	67.15	67.67	68.23	68.80	69.40	69.98	70.60	71.23	71.89	72.55	73.14	73.78	74.41	74.97
"Eritrea"	232	57.34	57.89	58.38	58.76	59.15	59.43	59.70	59.94	60.15	60.37	60.58	60.80	60.99	61.14	61.33	61.47	61.70	61.88
"Estonia"	233	67.13	67.18	67.40	67.75	68.20	68.66	69.17	69.73	70.29	70.87	71.47	72.11	72.71	73.26	73.80	74.33	74.81	75.25
"Fiji"	242	64.76	64.52	64.49	64.50	64.62	64.78	64.94	65.12	65.39	65.65	65.92	66.22	66.51	66.85	67.19	67.55	67.98	68.34
"Finland"	246	75.64	76.05	76.47	76.85	77.22	77.57	77.89	78.24	78.59	78.95	79.24	79.56	79.88	80.20	80.53	80.85	81.14	81.45
"France"	250	76.96	77.19	77.52	77.86	78.22	78.59	78.94	79.30	79.69	80.04	80.43	80.80	81.12	81.47	81.83	82.16	82.49	82.83
"French Guiana"	254	71.97	72.31	72.85	73.47	74.13	74.82	75.51	76.14	76.72	77.26	77.74	78.18	78.60	78.98	79.37	79.75	80.12	80.49
"French Polynesia"	258	72.05	72.24	72.63	73.09	73.65	74.27	74.92	75.56	76.28	76.99	77.68	78.36	78.96	79.55	80.09	80.60	81.04	81.46
"Gambia"	270	54.79	54.57	54.54	54.63	54.67	54.78	54.89	55.01	55.20	55.33	55.46	55.65	55.82	56.02	56.14	56.35	56.51	56.70
"Georgia"	268	68.57	68.38	68.42	68.55	68.76	69.03	69.36	69.72	70.13	70.55	70.98	71.49	71.96	72.47	72.96	73.54	74.09	74.63
"Germany"	276	76.53	76.85	77.29	77.73	78.16	78.56	78.94	79.33	79.68	80.05	80.42	80.77	81.12	81.50	81.85	82.21	82.55	82.90
"Greece"	300	76.69	77.01	77.46	77.90	78.34	78.71	79.09	79.47	79.82	80.15	80.51	80.83	81.16	81.51	81.83	82.15	82.48	82.78
"Grenada"	308	68.19	67.88	67.73	67.72	67.77	67.89	68.06	68.26	68.51	68.78	69.09	69.43	69.78	70.20	70.63	71.07	71.51	72.00
"Guadeloupe"	312	75.73	76.39	76.96	77.50	78.02	78.50	78.97	79.46	79.88	80.34	80.75	81.16	81.59	81.96	82.37	82.76	83.15	83.54
"Guam"	316	74.29	74.74	75.35	76.08	76.79	77.47	78.12	78.72	79.21	79.69	80.16	80.60	81.03	81.43	81.86	82.24	82.62	82.96
"Guatemala"	320	66.12	66.43	66.81	67.25	67.69	68.19	68.70	69.22	69.76	70.35	70.93	71.57	72.18	72.79	73.42	74.05	74.68	75.30
"Guinea-Bissau"	624	49.99	49.70	49.64	49.67	49.74	49.86	49.96	50.12	50.25	50.46	50.67	50.80	51.01	51.21	51.42	51.60	51.82	52.07
"Guyana"	328	61.35	61.11	61.03	61.04	61.06	61.12	61.20	61.38	61.59	61.81	62.08	62.39	62.68	63.00	63.28	63.52	63.78	64.00
"Hungary"	348	68.61	68.50	68.62	68.87	69.18	69.56	70.00	70.48	71.00	71.56	72.13	72.73	73.33	73.97	74.57	75.15	75.70	76.25
"Iceland"	352	79.02	79.23	79.52	79.84	80.15	80.47	80.80	81.13	81.45	81.77	82.09	82.44	82.75	83.08	83.41	83.74	84.05	84.37
"India"	356	62.24	62.25	62.44	62.62	62.87	63.15	63.43	63.69	63.95	64.20	64.54	64.83	65.13	65.45	65.77	66.01	66.40	66.76
"Indonesia"	360	66.51	66.52	66.66	66.87	67.10	67.37	67.66	67.92	68.27	68.60	68.95	69.35	69.77	70.21	70.64	71.14	71.62	72.22
"Iran (Islamic Republic of)"	364	69.81	70.08	70.45	70.91	71.39	71.94	72.50	73.10	73.72	74.37	75.00	75.66	76.32	77.01	77.73	78.41	79.06	79.71
"Iraq"	368	63.83	63.73	63.73	63.82	63.96	64.13	64.30	64.49	64.68	64.90	65.10	65.35	65.55	65.79	66.01	66.30	66.56	66.81
"Ireland"	372	76.70	77.00	77.51	78.04	78.50	78.98	79.37	79.77	80.12	80.50	80.86	81.18	81.52	81.86	82.19	82.53	82.85	83.19
"Israel"	376	78.19	78.51	78.92	79.28	79.69	80.05	80.44	80.80	81.18	81.55	81.90	82.30	82.68	83.07	83.42	83.79	84.15	84.48
"Italy"	380	78.35	78.62	78.95	79.34	79.73	80.12	80.52	80.94	81.31	81.71	82.11	82.48	82.85	83.22	83.58	83.96	84.32	84.67
"Japan"	392	78.83	79.11	79.46	79.83	80.21	80.61	81.00	81.35	81.72	82.09	82.47	82.82	83.17	83.50	83.85	84.19	84.51	84.84
"Jordan"	400	70.19	69.93	69.86	69.90	70.02	70.16	70.34	70.61	70.88	71.21	71.57	71.96	72.36	72.72	73.16	73.61	74.03	74.62
"Kazakhstan"	398	58.82	58.70	58.77	58.92	59.12	59.39	59.67	59.95	60.25	60.59	60.94	61.26	61.62	62.06	62.42	62.80	63.24	63.70
"Kiribati"	296	63.48	63.66	63.92	64.21	64.51	64.82	65.09	65.40	65.69	66.04	66.36	66.66	67.01	67.38	67.71	68.09	68.43	68.81
"Kuwait"	414	71.44	70.91	70.64	70.47	70.37	70.31	70.32	70.36	70.46	70.58	70.75	70.91	71.13	71.41	71.65	71.91	72.18	72.50
"Kyrgyzstan"	417	61.23	60.95	60.86	60.84	60.95	61.05	61.21	61.39	61.56	61.76	61.95	62.23	62.45	62.68	62.91	63.16	63.45	63.71
"Lao People's Democratic Republic"	418	64.01	64.41	64.73	64.98	65.18	65.39	65.56	65.71	65.85	65.97	66.07	66.20	66.35	66.48	66.63	66.79	66.92	67.04
"Latvia"	428	64.72	64.47	64.42	64.50	64.67	64.85	65.09	65.38	65.66	66.01	66.33	66.70	67.09	67.52	67.93	68.36	68.77	69.22
"Lebanon"	422	75.93	76.35	76.83	77.37	77.86	78.26	78.66	79.01	79.34	79.62	79.87	80.12	80.35	80.54	80.74	80.93	81.15	81.31
"Libya"	434	71.44	71.47	71.66	72.03	72.42	72.89	73.39	73.94	74.53	75.16	75.75	76.40	77.06	77.71	78.42	78.98	79.57	80.12
"Lithuania"	440	64.18	64.11	64.26	64.52	64.83	65.21	65.66	66.08	66.54	67.01	67.49	68.03	68.50	69.04	69.56	70.13	70.67	71.23
"Luxembourg"	442	76.22	76.59	77.08	77.60	78.06	78.47	78.89	79.29	79.68	80.05	80.42	80.80	81.17	81.53	81.89	82.23	82.61	82.97
"Madagascar"	450	60.27	60.64	60.98	61.25	61.53	61.81	62.02	62.24	62.39	62.60	62.76	62.98	63.19	63.33	63.45	63.63	63.84	64.04
"Malaysia"	458	70.71	70.59	70.69	70.89	71.14	71.48	71.86	72.28	72.71	73.18	73.68	74.22	74.75	75.32	75.85	76.42	76.99	77.55
